neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,host_is_superhost,host_response_rate,host_acceptance_rate,host_response_time,host_listings_count,instant_bookable,availability_30,availability_60,availability_90,availability_365,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,city,bathrooms,amenities_count,occupancy_q1,occupancy_q2,occupancy_q3,occupancy_q4,occupancy_autumn,occupancy_spring,occupancy_summer,occupancy_winter,occupancy_rate,occupancy_weekday,occupancy_weekend,total_reviews,days_since_last_review,listing_age_days,reviews_last_6m
Katsushika Ku,35.7482067,139.8571205,Entire rental unit,Entire home/apt,6,2.0,2.0,0.0,1.0,0.97,within an hour,32.0,1,8,20,43,96,2,365,2,2,4.5,3.5,5.0,4.5,1.02,91.76,Tokyo,1.5,31,0.4111111111111111,1.0,1.0,0.5326086956521738,0.7472527472527473,1.0,1.0,0.1888888888888888,0.5506849315068494,0.7241379310344828,0.7692307692307692,2.0,256.0,271.0,0.0
Sol,40.41693,-3.70072,Entire rental unit,Entire home/apt,2,1.0,2.0,1.0,1.0,0.98,within an hour,3.0,0,5,13,40,302,2,365,74,64,4.91,4.95,4.81,4.88,4.94,282.0,Madrid,1.0,45,0.0666666666666666,0.0439560439560439,0.1630434782608695,0.4130434782608695,0.5494505494505495,0.0652173913043477,0.0108695652173913,0.0666666666666666,0.3315068493150684,0.1685823754789271,0.1826923076923077,,,,
Nakano Ku,35.68936,139.67616,Private room in hostel,Private room,2,1.0,1.0,0.0,1.0,0.99,within an hour,72.0,1,22,50,80,81,1,300,6,0,4.5,4.67,4.5,4.83,0.14,55.8806,Tokyo,5.5,39,1.0,1.0,0.9891304347826086,0.1304347826086956,0.4175824175824175,1.0,1.0,0.6888888888888889,0.5506849315068494,0.7701149425287357,0.7980769230769231,6.0,957.0,1510.0,0.0
Edogawa Ku,35.69848,139.90737,Entire rental unit,Entire home/apt,6,2.0,6.0,0.0,1.0,1.0,within an hour,5.0,1,29,59,77,77,28,365,4,0,4.0,3.5,3.25,4.0,0.07,214.0364,Tokyo,1.0,38,1.0,1.0,0.9782608695652174,0.1847826086956522,0.3186813186813186,1.0,1.0,0.8333333333333334,0.5506849315068494,0.7854406130268199,0.7980769230769231,4.0,1146.0,2058.0,0.0
Argüelles,40.431122179657045,-3.7178676661339294,Private room in rental unit,Private room,1,1.0,1.0,0.0,0.06,0.15,a few days or more,216.0,0,12,13,26,301,30,65,0,0,4.75,4.79,4.85,4.64,1.42,23.0,Madrid,3.0,7,0.0,0.0,0.1847826086956522,0.5108695652173914,0.7032967032967032,0.0,0.0,0.0,0.3315068493150684,0.1769230769230769,0.1714285714285713,,,,
Taito Ku,35.7272804,139.7975131,Entire condo,Entire home/apt,5,2.0,3.0,0.0,0.98,0.99,within an hour,50.0,1,8,19,47,78,2,365,0,0,4.81,4.8,4.78,4.75,1.39,87.3518,Tokyo,1.0,30,0.6555555555555556,1.0,0.9891304347826086,0.5,0.7582417582417582,1.0,1.0,0.3777777777777777,0.5506849315068494,0.7854406130268199,0.7884615384615384,,,,
Sumida Ku,35.68848,139.8048,Entire home,Entire home/apt,6,3.0,6.0,0.0,1.0,1.0,within an hour,3.0,1,7,22,51,136,1,365,22,19,4.45,4.64,4.73,4.59,1.51,122.574,Tokyo,1.0,24,0.0555555555555555,1.0,1.0,0.4456521739130434,0.7362637362637363,0.6956521739130435,1.0,0.0666666666666666,0.5506849315068494,0.6360153256704981,0.6057692307692308,22.0,237.0,648.0,0.0
Universidad,40.42836,-3.70542,Entire rental unit,Entire home/apt,3,3.0,4.0,0.0,1.0,0.67,Unknown,2.0,0,0,0,0,257,30,1000,0,0,4.75,4.79,4.85,4.64,1.42,109.0,Madrid,2.0,31,0.0,0.0,0.1739130434782608,1.0,0.8461538461538461,0.0,0.0,0.3444444444444444,0.3315068493150684,0.2988505747126436,0.2884615384615384,,,,
Sol,40.41596,-3.70788,Entire rental unit,Entire home/apt,4,1.0,2.0,1.0,1.0,0.88,within a few hours,1.0,0,1,23,53,233,10,730,201,7,4.91,4.95,4.96,4.87,2.26,96.0,Madrid,1.0,44,0.0,0.2087912087912088,0.9891304347826086,0.2391304347826086,0.5604395604395604,0.0,0.8804347826086957,0.0,0.3315068493150684,0.3601532567049809,0.3653846153846154,,,,
Universidad,40.420902,-3.706567,Entire rental unit,Entire home/apt,5,2.0,3.0,0.0,1.0,0.99,Unknown,1.0,1,30,60,90,365,1,365,0,0,4.75,4.79,4.85,4.64,1.42,305.0,Madrid,2.5,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3315068493150684,0.0,0.0,,,,
