neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,host_is_superhost,host_response_rate,host_acceptance_rate,host_response_time,host_listings_count,instant_bookable,availability_30,availability_60,availability_90,availability_365,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,city,bathrooms,amenities_count,occupancy_q1,occupancy_q2,occupancy_q3,occupancy_q4,occupancy_autumn,occupancy_spring,occupancy_summer,occupancy_winter,occupancy_rate,occupancy_weekday,occupancy_weekend,total_reviews,days_since_last_review,listing_age_days,reviews_last_6m
Trafalgar,40.42925,-3.70276,Room in aparthotel,Entire home/apt,2,1.0,1.0,1.0,1.0,1.0,within an hour,2.0,1,0,5,27,38,1,1124,570,79,4.9,4.86,4.93,4.85,5.49,162.0,Madrid,1.0,45,1.0,1.0,1.0,0.5869565217391304,0.8461538461538461,1.0,1.0,0.7333333333333334,0.3315068493150684,0.896551724137931,0.8942307692307693,,,,
Embajadores,40.41266,-3.70554,Private room in rental unit,Private room,2,1.0,1.0,0.0,1.0,0.99,Unknown,17.0,1,1,1,1,1,3,20,59,59,4.54,4.75,4.85,4.58,4.86,33.0,Madrid,1.0,8,1.0,1.0,0.9891304347826086,1.0,0.989010989010989,1.0,1.0,1.0,0.3315068493150684,0.9961685823754788,1.0,,,,
Nueva España,40.46136,-3.68757,Entire rental unit,Entire home/apt,4,2.0,2.0,0.0,0.97,0.99,within an hour,143.0,1,0,27,57,332,1,1125,4,3,4.5,3.75,4.75,4.5,0.29,137.0,Madrid,2.0,31,0.0,0.0,0.1847826086956522,0.1739130434782608,0.3626373626373627,0.0,0.0,0.0,0.3315068493150684,0.0923076923076923,0.0857142857142857,,,,
Sol,40.417893,-3.7075655,Entire rental unit,Entire home/apt,2,0.0,1.0,0.0,0.99,1.0,within an hour,23.0,1,1,4,28,288,3,365,29,29,4.34,4.62,4.69,4.21,5.15,80.0,Madrid,1.0,22,0.0444444444444444,0.0329670329670329,0.1739130434782608,0.5869565217391304,0.6483516483516483,0.0326086956521739,0.0,0.1666666666666666,0.3315068493150684,0.2030651340996169,0.2307692307692307,,,,
Justicia,40.42799,-3.69778,Entire rental unit,Entire home/apt,6,3.0,3.0,0.0,0.97,0.99,within an hour,904.0,1,0,0,0,196,30,1125,1,0,5.0,5.0,5.0,5.0,0.04,173.0,Madrid,2.0,28,0.2888888888888888,0.0,0.5543478260869565,1.0,1.0,0.0,0.2282608695652174,0.6333333333333333,0.3315068493150684,0.4636015325670498,0.4615384615384615,,,,
Orcasur,40.3704111,-3.6982935,Entire rental unit,Entire home/apt,2,0.0,1.0,0.0,0.99,1.0,within an hour,33.0,1,22,52,82,172,2,365,49,36,4.43,4.39,4.08,4.2,3.18,53.0,Madrid,1.0,29,0.2111111111111111,1.0,0.9021739130434784,0.0,0.2307692307692307,0.8695652173913043,1.0,0.0,0.3315068493150684,0.5192307692307692,0.5523809523809524,,,,
San Isidro,40.399483,-3.720992,Entire rental unit,Entire home/apt,5,2.0,4.0,0.0,1.0,0.89,within an hour,1.0,0,0,10,22,246,1,1125,239,75,4.52,4.49,4.54,4.46,5.42,106.0,Madrid,1.0,28,0.1999999999999999,0.1758241758241758,0.1847826086956522,0.7391304347826086,0.6813186813186813,0.2282608695652174,0.0434782608695651,0.3555555555555555,0.3315068493150684,0.3269230769230768,0.3238095238095237,,,,
San Isidro,40.3959,-3.73307,Entire rental unit,Entire home/apt,4,1.0,2.0,0.0,1.0,0.99,within an hour,7.0,1,24,54,84,355,1,365,4,4,4.5,5.0,4.25,4.5,1.3,90.0,Madrid,1.0,34,0.0444444444444444,0.0,0.0652173913043477,0.0,0.0659340659340659,0.0,0.0,0.0444444444444444,0.3315068493150684,0.0269230769230769,0.0285714285714285,,,,
Sol,40.4168,-3.70282,Entire rental unit,Entire home/apt,3,2.0,3.0,1.0,1.0,0.71,within a day,1.0,0,1,24,54,234,30,600,63,3,4.67,4.63,4.93,4.66,0.55,106.0,Madrid,1.0,34,0.0,0.2087912087912088,0.9891304347826086,0.2282608695652174,0.5494505494505495,0.0,0.8804347826086957,0.0,0.3315068493150684,0.3563218390804598,0.3653846153846154,,,,
Pacífico,40.40625,-3.68479,Private room in rental unit,Private room,1,1.0,1.0,1.0,0.95,0.68,within a few hours,3.0,0,0,0,0,0,1,1125,216,0,4.66,4.5,4.85,4.7,1.4,25.0,Madrid,2.0,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3315068493150684,1.0,1.0,,,,
