neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,host_is_superhost,host_response_rate,host_acceptance_rate,host_response_time,host_listings_count,instant_bookable,availability_30,availability_60,availability_90,availability_365,minimum_nights,maximum_nights,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_value,reviews_per_month,price,city,bathrooms,amenities_count,occupancy_q1,occupancy_q2,occupancy_q3,occupancy_q4,occupancy_autumn,occupancy_spring,occupancy_summer,occupancy_winter,occupancy_rate,occupancy_weekday,occupancy_weekend,total_reviews,days_since_last_review,listing_age_days,reviews_last_6m
Shinjuku Ku,35.71675,139.69642,Entire rental unit,Entire home/apt,2,1.0,1.0,0.0,0.99,0.98,within an hour,75.0,1,2,8,15,57,1,365,1,1,5.0,5.0,5.0,5.0,1.0,77.655,Tokyo,1.0,29,0.5666666666666667,1.0,1.0,0.8043478260869565,0.912087912087912,0.8695652173913043,1.0,0.5888888888888889,0.5506849315068494,0.8467432950191571,0.8365384615384616,1.0,214.0,214.0,0.0
Bunkyo Ku,35.73447,139.75245,Entire home,Entire home/apt,8,3.0,6.0,1.0,1.0,1.0,within an hour,13.0,0,8,23,45,320,1,1125,31,20,4.81,4.9,4.77,4.81,1.45,159.9848,Tokyo,1.5,65,0.0,0.0,0.0108695652173913,0.4782608695652174,0.4285714285714286,0.0,0.0,0.0666666666666666,0.5506849315068494,0.1149425287356321,0.1442307692307692,31.0,225.0,851.0,0.0
Nakano Ku,35.70212637362025,139.6847335600086,Entire rental unit,Entire home/apt,7,1.0,0.0,1.0,1.0,0.93,within an hour,1.0,0,8,23,47,300,2,120,39,12,4.87,4.87,4.85,4.82,1.91,117.8,Tokyo,1.0,32,0.1555555555555555,0.0439560439560439,0.0217391304347825,0.4891304347826086,0.4065934065934066,0.0434782608695651,0.0,0.2666666666666667,0.5506849315068494,0.1839080459770115,0.1634615384615384,39.0,220.0,823.0,0.0
Suginami Ku,35.70151,139.64629,Entire rental unit,Entire home/apt,2,1.0,2.0,1.0,1.0,1.0,within an hour,56.0,1,9,30,60,328,2,365,31,17,4.94,4.94,4.97,4.84,1.75,93.403,Tokyo,1.0,32,0.0555555555555555,0.0,0.0217391304347825,0.3260869565217391,0.3296703296703297,0.0,0.0,0.0777777777777777,0.5506849315068494,0.1034482758620689,0.0961538461538461,31.0,220.0,744.0,0.0
Kita Ku,35.77643411159012,139.72921082754144,Entire rental unit,Entire home/apt,6,2.0,6.0,1.0,1.0,0.99,within an hour,7.0,1,0,23,53,220,2,60,0,0,4.81,4.8,4.78,4.75,1.39,160.8466,Tokyo,1.5,42,0.1333333333333333,0.0659340659340659,1.0,0.3804347826086957,0.7142857142857143,0.1521739130434782,0.7173913043478262,0.0,0.5506849315068494,0.3946360153256705,0.4038461538461538,,,,
Kita Ku,35.75971699999999,139.7348462,Entire home,Entire home/apt,10,3.0,7.0,1.0,1.0,0.99,within an hour,4.0,0,10,15,36,265,3,365,25,25,5.0,5.0,4.96,4.96,3.09,229.9022,Tokyo,1.5,48,0.2444444444444444,0.2307692307692307,0.0217391304347825,0.5978260869565217,0.4945054945054945,0.1630434782608695,0.0652173913043477,0.3777777777777777,0.5506849315068494,0.2873563218390804,0.2403846153846154,25.0,227.0,455.0,0.0
Toshima Ku,35.72787,139.69182,Entire rental unit,Entire home/apt,5,1.0,3.0,0.0,1.0,1.0,within an hour,4.0,1,8,16,31,279,1,365,0,0,4.81,4.8,4.78,4.75,1.39,80.7984,Tokyo,1.0,7,0.1222222222222222,0.1428571428571429,0.0217391304347825,0.6521739130434783,0.5054945054945055,0.2608695652173913,0.0,0.1777777777777778,0.5506849315068494,0.2337164750957854,0.2403846153846154,,,,
Suginami Ku,35.70686575604375,139.6554380782686,Entire rental unit,Entire home/apt,2,0.0,1.0,1.0,1.0,0.99,within an hour,2.0,0,2,10,23,101,4,90,163,18,4.93,4.96,4.87,4.86,1.21,87.9408,Tokyo,1.0,40,0.1444444444444445,1.0,1.0,0.7391304347826086,0.8901098901098901,0.7065217391304348,1.0,0.2888888888888888,0.5506849315068494,0.7126436781609196,0.75,163.0,228.0,4238.0,0.0
Katsushika Ku,35.7186,139.86336,Entire home,Entire home/apt,15,4.0,8.0,0.0,1.0,1.0,within an hour,72.0,1,4,11,20,278,2,90,30,4,4.73,4.83,4.73,4.73,1.07,237.6274,Tokyo,1.0,44,0.1777777777777778,0.0,0.0108695652173913,0.7608695652173914,0.5604395604395604,0.0652173913043477,0.0,0.3333333333333333,0.5506849315068494,0.2260536398467433,0.2692307692307693,30.0,284.0,1055.0,0.0
Ota Ku,35.546564714556354,139.75122618118496,Entire rental unit,Entire home/apt,2,1.0,2.0,1.0,1.0,1.0,within an hour,2.0,1,15,31,51,231,1,365,16,16,4.88,5.0,4.88,4.81,2.45,56.1906,Tokyo,1.0,25,0.0,0.0549450549450549,0.9891304347826086,0.4130434782608695,0.6593406593406593,0.0,0.7282608695652174,0.0777777777777777,0.5506849315068494,0.3486590038314177,0.4134615384615384,16.0,225.0,408.0,0.0
Kita Ku,35.738164127778816,139.7597590189768,Private room in ryokan,Private room,2,1.0,2.0,0.0,0.98,0.98,within an hour,73.0,1,3,4,9,223,1,365,3,3,5.0,5.0,5.0,4.67,1.91,38.5578,Tokyo,1.0,4,0.4666666666666667,0.1758241758241758,0.0108695652173913,0.9021739130434784,0.6373626373626373,0.3152173913043478,0.0,0.6111111111111112,0.5506849315068494,0.3869731800766284,0.3942307692307693,3.0,235.0,258.0,0.0
Koto Ku,35.6890841,139.8379746,Entire condo,Entire home/apt,4,1.0,2.0,0.0,1.0,0.99,within an hour,8.0,1,0,0,0,0,2,365,10,10,4.8,4.9,4.6,4.8,1.9,60.791,Tokyo,1.0,35,0.0,0.0549450549450549,1.0,0.7282608695652174,0.8804347826086957,0.0,0.7282608695652174,0.1888888888888888,0.5506849315068494,0.4503816793893129,0.4519230769230768,10.0,221.0,369.0,0.0
Taito Ku,35.71636,139.78765,Entire rental unit,Entire home/apt,4,1.0,2.0,0.0,0.94,1.0,within an hour,1.0,1,9,22,42,216,1,365,38,36,4.29,4.21,4.55,4.5,2.99,71.10159999999999,Tokyo,1.0,21,0.0333333333333333,0.0439560439560439,1.0,0.5434782608695652,0.7362637362637363,0.0,0.7173913043478262,0.1777777777777778,0.5506849315068494,0.4022988505747126,0.4230769230769231,38.0,227.0,592.0,0.0
Koto Ku,35.69791,139.83748,Entire home,Entire home/apt,4,2.0,2.0,1.0,1.0,1.0,within an hour,11.0,1,5,10,27,288,2,365,27,26,4.89,4.93,4.59,4.93,2.19,74.0466,Tokyo,1.0,33,0.1111111111111111,0.0,0.0217391304347825,0.7065217391304348,0.5824175824175823,0.0,0.0,0.2666666666666667,0.5506849315068494,0.2068965517241379,0.2211538461538461,27.0,227.0,582.0,0.0
Shibuya Ku,35.65081432817095,139.7215210273862,Entire home,Entire home/apt,4,1.0,2.0,1.0,1.0,0.91,within an hour,5.0,0,0,7,31,262,2,180,29,29,5.0,4.86,4.93,4.83,3.12,225.153,Tokyo,1.0,45,0.4888888888888889,0.0,0.0217391304347825,0.6195652173913043,0.5824175824175823,0.0652173913043477,0.0,0.4888888888888889,0.5506849315068494,0.2873563218390804,0.2692307692307693,29.0,227.0,491.0,0.0
Toshima Ku,35.73963,139.69999,Private room in rental unit,Private room,2,1.0,2.0,0.0,1.0,1.0,within an hour,31.0,1,18,18,18,18,1,90,54,10,4.87,4.81,4.65,4.8,0.74,36.1584,Tokyo,2.0,28,1.0,1.0,1.0,0.8043478260869565,0.8021978021978022,1.0,1.0,1.0,0.5506849315068494,0.946360153256705,0.9615384615384616,54.0,225.0,2396.0,0.0
Setagaya Ku,35.62863,139.63438,Entire rental unit,Entire home/apt,2,0.0,1.0,0.0,0.5,0.91,within a day,40.0,0,0,0,0,273,2,180,48,3,4.81,4.79,4.9,4.75,0.55,85.3802,Tokyo,1.0,27,0.0,0.0,0.0217391304347825,0.9782608695652174,0.6923076923076923,0.0,0.0,0.3222222222222222,0.5506849315068494,0.2528735632183908,0.25,48.0,402.0,2836.0,0.0
Machida Shi,35.5622972,139.4654099,Entire home,Entire home/apt,8,2.0,4.0,0.0,1.0,1.0,within an hour,4.0,1,21,42,65,334,4,90,6,6,4.67,4.5,4.5,4.5,1.01,75.392,Tokyo,1.0,21,0.0333333333333333,0.0,0.0,0.3043478260869565,0.1978021978021977,0.0,0.0,0.1444444444444445,0.5506849315068494,0.0919540229885057,0.0673076923076922,6.0,291.0,391.0,0.0
Shibuya Ku,35.68047,139.67538,Entire rental unit,Entire home/apt,5,1.0,2.0,0.0,1.0,1.0,within an hour,2.0,1,4,8,24,188,1,60,23,23,4.91,4.91,4.48,4.91,7.75,86.8,Tokyo,1.0,40,0.1333333333333333,0.0549450549450549,1.0,0.7391304347826086,0.9010989010989012,0.0543478260869565,0.6739130434782609,0.3111111111111111,0.5506849315068494,0.4865900383141762,0.4807692307692307,23.0,218.0,301.0,0.0
Taito Ku,35.72334,139.79743,Entire rental unit,Entire home/apt,2,1.0,3.0,0.0,1.0,1.0,within an hour,3.0,1,10,23,51,54,1,365,0,0,4.81,4.8,4.78,4.75,1.39,74.8464,Tokyo,1.0,13,1.0,1.0,0.9891304347826086,0.4239130434782608,0.7472527472527473,1.0,1.0,0.6555555555555556,0.5506849315068494,0.8314176245210728,0.903846153846154,,,,
Shinjuku Ku,35.6904,139.68417,Entire home,Entire home/apt,10,4.0,5.0,1.0,1.0,0.99,within an hour,92.0,1,2,4,10,57,1,30,19,19,4.79,4.84,4.84,4.74,3.85,273.4758,Tokyo,2.5,45,0.4777777777777777,1.0,1.0,0.8913043478260869,0.956043956043956,0.7065217391304348,1.0,0.7111111111111111,0.5506849315068494,0.8390804597701149,0.8557692307692308,19.0,226.0,360.0,0.0
Shinjuku Ku,35.71132404407565,139.68458265066147,Entire home,Entire home/apt,7,3.0,4.0,1.0,1.0,1.0,within an hour,8.0,1,4,10,36,218,2,365,11,11,4.91,4.91,4.82,4.91,2.46,154.00799999999998,Tokyo,1.5,40,0.6444444444444444,0.3406593406593406,0.0217391304347825,0.6086956521739131,0.5604395604395604,0.0434782608695651,0.2934782608695652,0.7222222222222222,0.5506849315068494,0.4022988505747126,0.4038461538461538,11.0,242.0,346.0,0.0
