price_eur,log_price_eur,neighbourhood_cleansed,neighbourhood_group,property_group,room_type,bathroom_type,capacity_bucket,host_response_time,host_scale_bucket,review_recency_bucket,latitude,longitude,distance_to_center_km,is_central_5km,neighbourhood_listing_count,accommodates,bedrooms,beds,bathrooms,amenities_count,has_wifi,has_kitchen,has_air_conditioning,has_washer,has_dedicated_workspace,has_tv,has_parking,has_elevator,has_heating,has_self_checkin,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_tenure_days,days_since_last_review,review_history_days,has_reviews,minimum_nights_capped,is_professional_host,calendar_unavailable_rate,calendar_unavailable_q1,calendar_unavailable_q2,calendar_unavailable_q3,calendar_unavailable_q4,calendar_unavailable_autumn,calendar_unavailable_spring,calendar_unavailable_summer,calendar_unavailable_winter,calendar_unavailable_weekday,calendar_unavailable_weekend,beds_per_guest,bathrooms_per_guest,reviews_last_6m,has_rating,reviewed_last_30d,reviewed_last_90d,low_availability_30,high_annual_availability,availability_30_ratio,availability_365_ratio,calendar_weekend_unavailable_gap
162.0,5.093750200806762,Trafalgar,Chamberí,Hotel/serviced,Entire home/apt,Standard,couple,within an hour,small_multi_host,reviewed_30d,40.42925,-3.70276,1.3872,1,330,2,1.0,1.0,1.0,44,1,1,1,1,0,1,1,0,1,0,1.0,1.0,1.0,2.0,1.0,1.0,1124,0,5,27,38,570,79,9,91,4.9,4.92,4.86,4.89,4.98,4.93,4.85,1.0,2,2,0,0,5.49,3135.0,5.0,3111.0,1,1,0,0.8958904109589041,1.0,1.0,1.0,0.5869565217391305,0.8461538461538461,1.0,1.0,0.7333333333333333,0.896551724137931,0.8942307692307693,0.5,0.5,45.0,1,1,1,1,0,0.0,0.1041,-0.0023
33.0,3.5263605246161616,Embajadores,Centro,Apartment/condo,Private room,Shared,couple,,professional_host,reviewed_30d,40.41266,-3.70554,0.4833,1,1878,2,1.0,1.0,1.0,8,1,1,0,0,1,0,0,0,0,0,,,0.0,17.0,1.0,1.0,20,1,1,1,1,59,59,1,18,4.54,4.76,4.75,4.61,4.61,4.85,4.58,1.0,13,1,12,0,4.86,3380.0,20.0,343.0,1,3,1,0.9972602739726028,1.0,1.0,0.9891304347826086,1.0,0.989010989010989,1.0,1.0,1.0,0.9961685823754788,1.0,0.5,0.5,33.0,1,1,1,1,0,0.0333,0.0027,0.0038
137.0,4.927253685157205,Nueva España,Chamartín,Apartment/condo,Entire home/apt,Standard,small_group,within an hour,large_operator,reviewed_30d,40.46136,-3.68757,5.1417,0,132,4,2.0,2.0,2.0,31,1,1,1,1,0,1,0,1,1,0,0.97,0.99,,143.0,1.0,1.0,1125,0,27,57,332,4,3,1,1,4.5,5.0,3.75,4.0,4.0,4.75,4.5,1.0,55,55,0,0,0.29,1613.0,28.0,390.0,1,1,1,0.0904109589041095,0.0,0.0,0.1847826086956521,0.1739130434782608,0.3626373626373626,0.0,0.0,0.0,0.0923076923076923,0.0857142857142857,0.5,0.5,2.0,1,1,1,1,1,0.0,0.9096,-0.0066
80.0,4.394449154672439,Sol,Centro,Apartment/condo,Entire home/apt,Standard,couple,within an hour,large_operator,reviewed_30d,40.417893,-3.7075655,0.3412,1,994,2,0.0,1.0,1.0,22,1,1,1,0,1,1,0,0,1,1,0.99,1.0,0.0,23.0,1.0,1.0,365,1,4,28,288,29,29,4,0,4.34,4.55,4.62,4.9,4.69,4.69,4.21,1.0,22,22,0,0,5.15,3214.0,18.0,150.0,1,3,1,0.210958904109589,0.0444444444444444,0.0329670329670329,0.1739130434782608,0.5869565217391305,0.6483516483516484,0.0326086956521739,0.0,0.1666666666666666,0.2030651340996168,0.2307692307692307,0.5,0.5,29.0,1,1,1,1,1,0.0333,0.789,0.0277
173.0,5.159055299214529,Justicia,Centro,Apartment/condo,Entire home/apt,Standard,family_group,within an hour,large_operator,stale_over_365d,40.42799,-3.69778,1.3446,1,861,6,3.0,3.0,2.0,28,1,1,1,1,1,1,0,1,1,0,0.97,0.99,0.0,904.0,1.0,1.0,1125,0,0,0,196,1,0,0,0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,1.0,384,384,0,0,0.04,1949.0,793.0,0.0,1,30,1,0.4630136986301369,0.2888888888888888,0.0,0.5543478260869565,1.0,1.0,0.0,0.2282608695652173,0.6333333333333333,0.4636015325670498,0.4615384615384615,0.5,0.3333,0.0,1,0,0,1,0,0.0,0.537,-0.0021
53.0,3.9889840465642745,Orcasur,Usera,Apartment/condo,Entire home/apt,Standard,couple,within an hour,large_operator,reviewed_90d,40.3704111,-3.6982935,5.1792,0,53,2,0.0,1.0,1.0,29,1,1,1,0,0,1,1,1,1,0,0.99,1.0,0.0,33.0,1.0,1.0,365,22,52,82,172,49,36,0,22,4.43,4.47,4.39,4.63,4.76,4.08,4.2,1.0,31,18,13,0,3.18,3451.0,55.0,406.0,1,2,1,0.5287671232876713,0.2111111111111111,1.0,0.9021739130434784,0.0,0.2307692307692307,0.8695652173913043,1.0,0.0,0.5192307692307693,0.5523809523809524,0.5,0.5,17.0,1,0,1,0,0,0.7333,0.4712,0.0332
106.0,4.672828834461906,San Isidro,Carabanchel,Apartment/condo,Entire home/apt,Standard,family_group,within an hour,single_listing,reviewed_30d,40.399483,-3.720992,2.4138,1,153,5,2.0,4.0,1.0,28,1,1,1,1,1,1,0,0,1,0,1.0,0.89,0.0,1.0,1.0,1.0,1125,0,10,22,246,239,75,2,74,4.52,4.61,4.49,4.84,4.84,4.54,4.46,0.0,1,1,0,0,5.42,3307.0,25.0,1298.0,1,1,0,0.3260273972602739,0.2,0.1758241758241758,0.1847826086956521,0.7391304347826086,0.6813186813186813,0.2282608695652173,0.0434782608695652,0.3555555555555555,0.3269230769230769,0.3238095238095238,0.8,0.2,44.0,1,1,1,1,0,0.0,0.674,-0.0031
90.0,4.51085950651685,San Isidro,Carabanchel,Apartment/condo,Entire home/apt,Standard,small_group,within an hour,professional_host,reviewed_30d,40.3959,-3.73307,3.3975,1,153,4,1.0,2.0,1.0,34,1,1,1,1,0,1,0,0,1,1,1.0,0.99,0.0,7.0,1.0,1.0,365,24,54,84,355,4,4,2,0,4.5,4.75,5.0,5.0,4.75,4.25,4.5,1.0,7,7,0,0,1.3,1809.0,23.0,68.0,1,1,1,0.0273972602739726,0.0444444444444444,0.0,0.0652173913043478,0.0,0.0659340659340659,0.0,0.0,0.0444444444444444,0.0269230769230769,0.0285714285714285,0.5,0.25,4.0,1,1,1,0,1,0.8,0.9726,0.0016
106.0,4.672828834461906,Sol,Centro,Apartment/condo,Entire home/apt,Standard,small_group,within a day,single_listing,reviewed_90d,40.4168,-3.70282,0.083,1,994,3,2.0,3.0,1.0,34,1,1,1,1,0,1,1,1,1,0,1.0,0.71,1.0,1.0,1.0,1.0,600,1,24,54,234,63,3,0,3,4.67,4.92,4.63,4.95,4.89,4.93,4.66,0.0,1,1,0,0,0.55,3468.0,76.0,3369.0,1,30,0,0.3589041095890411,0.0,0.2087912087912088,0.9891304347826086,0.2282608695652173,0.5494505494505495,0.0,0.8804347826086957,0.0,0.3563218390804598,0.3653846153846153,1.0,0.3333,1.0,1,0,1,1,0,0.0333,0.6411,0.0091
25.0,3.258096538021482,Pacífico,Retiro,Apartment/condo,Private room,Standard,solo,within a few hours,small_multi_host,stale_over_365d,40.40625,-3.68479,1.9916,1,206,1,1.0,1.0,2.0,14,1,1,0,1,0,1,0,1,1,0,0.95,0.68,1.0,3.0,1.0,1.0,1125,0,0,0,0,216,0,0,0,4.66,4.78,4.5,4.87,4.9,4.85,4.7,0.0,3,0,3,0,1.4,4672.0,1839.0,2796.0,1,1,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.0,1,0,0,1,0,0.0,0.0,0.0
