price_eur,log_price_eur,neighbourhood_cleansed,property_group,room_type,bathroom_type,capacity_bucket,host_response_time,host_scale_bucket,review_recency_bucket,latitude,longitude,distance_to_center_km,is_central_5km,neighbourhood_listing_count,accommodates,bedrooms,beds,bathrooms,amenities_count,has_wifi,has_kitchen,has_air_conditioning,has_washer,has_dedicated_workspace,has_tv,has_parking,has_elevator,has_heating,has_self_checkin,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,number_of_reviews_ly,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,host_tenure_days,days_since_last_review,review_history_days,has_reviews,minimum_nights_capped,is_professional_host,calendar_unavailable_rate,calendar_unavailable_q1,calendar_unavailable_q2,calendar_unavailable_q3,calendar_unavailable_q4,calendar_unavailable_autumn,calendar_unavailable_spring,calendar_unavailable_summer,calendar_unavailable_winter,calendar_unavailable_weekday,calendar_unavailable_weekend,beds_per_guest,bathrooms_per_guest,reviews_last_6m,has_rating,reviewed_last_30d,reviewed_last_90d,low_availability_30,high_annual_availability,availability_30_ratio,availability_365_ratio,calendar_weekend_unavailable_gap
77.655,4.3650712002744685,Shinjuku Ku,Apartment/condo,Entire home/apt,Standard,couple,within an hour,large_operator,reviewed_30d,35.71675,139.69642,7.5074,0,4114,2,1.0,1.0,1.0,29,1,1,1,1,0,0,0,1,1,0,0.99,0.98,0.0,75.0,1.0,1.0,365,2,8,15,57,1,1,1,0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,75,75,0,0,1.0,306.0,2.0,0.0,1,1,1,0.8438356164383561,0.5666666666666667,1.0,1.0,0.8043478260869565,0.912087912087912,0.8695652173913043,1.0,0.5888888888888889,0.8467432950191571,0.8365384615384616,0.5,0.5,1.0,1,1,1,1,0,0.0667,0.1562,-0.0102
159.9848,5.081309950589676,Bunkyo Ku,House/villa,Entire home/apt,Standard,large_group,within an hour,professional_host,reviewed_30d,35.73447,139.75245,6.0693,0,417,8,3.0,6.0,1.5,59,1,1,1,1,1,1,1,0,1,0,1.0,1.0,1.0,13.0,1.0,1.0,1125,8,23,45,320,31,20,3,13,4.81,4.9,4.9,4.81,4.77,4.77,4.81,0.0,9,9,0,0,1.45,4648.0,13.0,626.0,1,1,1,0.1232876712328767,0.0,0.0,0.0108695652173913,0.4782608695652174,0.4285714285714285,0.0,0.0,0.0666666666666666,0.1149425287356321,0.1442307692307692,0.75,0.1875,12.0,1,1,1,0,1,0.2667,0.8767,0.0293
117.8,4.777441406928545,Nakano Ku,Apartment/condo,Entire home/apt,Standard,large_group,within an hour,single_listing,reviewed_30d,35.70212637362025,139.6847335600086,7.7939,0,794,7,1.0,0.0,1.0,32,1,1,1,1,1,1,0,0,1,1,1.0,0.93,1.0,1.0,1.0,1.0,120,8,23,47,300,39,12,2,35,4.87,4.87,4.87,4.95,5.0,4.85,4.82,0.0,1,1,0,0,1.91,651.0,7.0,603.0,1,2,0,0.1780821917808219,0.1555555555555555,0.0439560439560439,0.0217391304347826,0.4891304347826087,0.4065934065934066,0.0434782608695652,0.0,0.2666666666666666,0.1839080459770115,0.1634615384615384,0.0,0.1429,4.0,1,1,1,0,1,0.2667,0.8219,-0.0204
93.403,4.547572852307509,Suginami Ku,Apartment/condo,Entire home/apt,Standard,couple,within an hour,large_operator,reviewed_30d,35.70151,139.64629,11.1416,0,577,2,1.0,2.0,1.0,32,1,1,1,1,0,0,1,0,1,1,1.0,1.0,1.0,56.0,1.0,1.0,365,9,30,60,328,31,17,1,22,4.94,4.94,4.94,5.0,5.0,4.97,4.84,1.0,54,42,12,0,1.75,2135.0,7.0,524.0,1,2,1,0.1013698630136986,0.0555555555555555,0.0,0.0217391304347826,0.3260869565217391,0.3296703296703296,0.0,0.0,0.0777777777777777,0.1034482758620689,0.0961538461538461,1.0,0.5,8.0,1,1,1,0,1,0.3,0.8986,-0.0073
160.8466,5.086648973046256,Kita Ku,Apartment/condo,Entire home/apt,Standard,family_group,within an hour,professional_host,no_reviews,35.77643411159012,139.72921082754144,11.1282,0,771,6,2.0,6.0,1.5,42,1,1,1,1,1,1,0,0,1,1,1.0,0.99,1.0,7.0,1.0,1.0,60,0,23,53,220,0,0,0,0,,,,,,,,1.0,7,7,0,0,,737.0,,,0,2,1,0.3972602739726027,0.1333333333333333,0.0659340659340659,1.0,0.3804347826086957,0.7142857142857143,0.1521739130434782,0.717391304347826,0.0,0.3946360153256705,0.4038461538461538,1.0,0.25,0.0,0,0,0,1,0,0.0,0.6027,0.0092
229.9022,5.44199424424923,Kita Ku,House/villa,Entire home/apt,Standard,large_group,within an hour,small_multi_host,reviewed_30d,35.75971699999999,139.7348462,9.2034,0,771,10,3.0,7.0,1.5,48,1,1,1,1,0,1,1,0,1,1,1.0,0.99,1.0,4.0,1.0,1.0,365,10,15,36,265,25,25,2,0,5.0,5.0,5.0,5.0,5.0,4.96,4.96,0.0,4,4,0,0,3.09,1669.0,14.0,228.0,1,3,0,0.273972602739726,0.2444444444444444,0.2307692307692307,0.0217391304347826,0.5978260869565217,0.4945054945054945,0.1630434782608695,0.0652173913043478,0.3777777777777777,0.2873563218390804,0.2403846153846154,0.7,0.15,16.0,1,1,1,0,0,0.3333,0.726,-0.047
80.7984,4.404257683515204,Toshima Ku,Apartment/condo,Entire home/apt,Standard,family_group,within an hour,small_multi_host,no_reviews,35.72787,139.69182,8.5519,0,2375,5,1.0,3.0,1.0,7,1,1,1,1,0,0,0,0,0,0,1.0,1.0,0.0,4.0,1.0,1.0,365,8,16,31,279,0,0,0,0,,,,,,,,1.0,4,4,0,0,,81.0,,,0,1,0,0.2356164383561644,0.1222222222222222,0.1428571428571428,0.0217391304347826,0.6521739130434783,0.5054945054945055,0.2608695652173913,0.0,0.1777777777777777,0.2337164750957854,0.2403846153846154,0.6,0.2,0.0,0,0,0,0,1,0.2667,0.7644,0.0067
87.9408,4.487970979870071,Suginami Ku,Apartment/condo,Entire home/apt,Standard,couple,within an hour,small_multi_host,reviewed_30d,35.70686575604375,139.6554380782686,10.4799,0,577,2,0.0,1.0,1.0,40,1,1,1,1,1,0,1,0,1,1,1.0,0.99,1.0,2.0,1.0,1.0,90,2,10,23,101,163,18,1,19,4.93,4.95,4.96,4.97,4.95,4.87,4.86,0.0,2,2,0,0,1.21,4080.0,15.0,4010.0,1,4,0,0.7232876712328767,0.1444444444444444,1.0,1.0,0.7391304347826086,0.8901098901098901,0.7065217391304348,1.0,0.2888888888888888,0.7126436781609196,0.75,0.5,0.5,10.0,1,1,1,1,0,0.0667,0.2767,0.0374
237.6274,5.474903339617126,Katsushika Ku,House/villa,Entire home/apt,Standard,large_group,within an hour,large_operator,reviewed_90d,35.7186,139.86336,9.6359,0,835,15,4.0,8.0,1.0,44,1,1,0,1,1,0,0,0,1,1,1.0,1.0,,72.0,1.0,1.0,90,4,11,20,278,30,4,0,14,4.73,4.9,4.83,4.93,5.0,4.73,4.73,1.0,41,38,3,0,1.07,2460.0,72.0,771.0,1,2,1,0.2383561643835616,0.1777777777777777,0.0,0.0108695652173913,0.7608695652173914,0.5604395604395604,0.0652173913043478,0.0,0.3333333333333333,0.2260536398467433,0.2692307692307692,0.5333,0.0667,3.0,1,0,1,1,1,0.1333,0.7616,0.0432
56.1906,4.046389549216832,Ota Ku,Apartment/condo,Entire home/apt,Standard,couple,within an hour,small_multi_host,reviewed_30d,35.546564714556354,139.75122618118496,15.0394,0,1048,2,1.0,2.0,1.0,25,1,1,1,1,0,1,0,0,1,0,1.0,1.0,1.0,2.0,1.0,1.0,365,15,31,51,231,16,16,1,0,4.88,4.88,5.0,4.88,4.69,4.88,4.81,1.0,2,1,1,0,2.45,217.0,12.0,183.0,1,1,0,0.3671232876712328,0.0,0.0549450549450549,0.9891304347826086,0.4130434782608695,0.6593406593406593,0.0,0.7282608695652174,0.0777777777777777,0.3486590038314176,0.4134615384615384,1.0,0.5,15.0,1,1,1,0,0,0.5,0.6329,0.0648
