id,listing_url,scrape_id,last_scraped,source,name,description,neighborhood_overview,picture_url,host_id,host_url,host_name,host_since,host_location,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_thumbnail_url,host_picture_url,host_neighbourhood,host_listings_count,host_total_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,availability_eoy,number_of_reviews_ly,estimated_occupancy_l365d,estimated_revenue_l365d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
30320,https://www.airbnb.com/rooms/30320,20250914152907,2025-09-15,city scrape,Apartamentos Dana Sol,,,https://a0.muscache.com/pictures/336868/f67409fb_original.jpg,130907,https://www.airbnb.com/users/show/130907,Danuta Weronika,2010-05-24,"Madrid, Spain","Apartasol offers a network of several spacious, comfortable apartments in the vibrant heart of Madrid.  The apartments are situated in three different locations, all very central and within walking distance from each other.  The sizes range from 35m 2 studios to 75m 2 two bedroom apartments and they can accommodate from 1 person up to 6 people depending on the type and size of the apartment.  Recently refurbished, the apartments are sure to preserve the traditional Madrileño look. Apartasol is well known for its extremely friendly staff and impeccable cleaning services",within an hour,100%,100%,f,https://a0.muscache.com/im/users/130907/profile_pic/1373028590/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/130907/profile_pic/1373028590/original.jpg?aki_policy=profile_x_medium,Sol,17.0,18.0,"['email', 'phone']",t,t,,Sol,Centro,40.41476,-3.70418,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"[""TV with standard cable"", ""Elevator"", ""Air conditioning"", ""Kitchen"", ""Heating"", ""Wifi""]",$157.00,5,50,1.0,7.0,50.0,50.0,5.0,50.0,,t,16,46,76,342,2025-09-15,173,1,1,88,0,10,1570.0,2010-07-06,2025-08-27,4.63,4.71,4.88,4.82,4.78,4.9,4.69,,t,17,17,0,0,0.93
62423,https://www.airbnb.com/rooms/62423,20250914152907,2025-09-15,city scrape,MAGIC ARTISTIC HOUSE IN THE CENTER OF MADRID,"INCREDIBLE HOME OF AN ARTIST SURROUNDED BY PAINTINGS AND ARTWORK. AMPLE AND BRIGHT APARTMENT OF 120 M2 WITH A SPACIOUS, OPEN KITCHEN. PERFECT TO COOK AT HOME AND ENJOY DINNER. FEEL HOME AT THIS WELL AND PLEASANT FLAT WITH A SPECIAL DECORATED LIVING ROOM. AVAILABLE DURING THE WHOLE GAYPRIDE  ENJOY MADRID´S TRENDIEST DISTRICT WITHIN A COZY ATMOSPHERE IN THE CENTER OF MADRID BETWEEN GRAN VIA AND CHUECA. FULL OF ART MUSEUMS, PRADO MUSEUM, rEINA SOFIA AND THYSSEN ART MUSEUM, CLOSE TO MY APARTMENT","DISTRICT WITH VERY GOOD VIBES IN THE MIDDLE OF MADRID, BESIDE GRAN VÍA AND ALCALÁ (METRO BANCO DE ESPAÑA (METRO LINE 2)<br />VERY GOOD LOCATION AT CHUECA DISTRICT FULL OF RESTAURANTS, MUSEUMS, CINEMAS, DISCOS AND BARS.",https://a0.muscache.com/pictures/miso/Hosting-62423/original/e6af64ea-0329-408b-b572-e1b3e5c15b5f.jpeg,303845,https://www.airbnb.com/users/show/303845,Arturo,2010-11-29,"Madrid, Spain","I am an artist... and I will be glad to have you at my Home Art Museum... in a sunny, pleasant, cozy and exotic place, in the main center of Madrid (Chueca District)

Soy artista... y estaré encantado de tenerte en mi Casa Museo de Arte... Un lugar soleado, agradable, acogedor, exótico, y en pleno centro de Madrid (Barrio de Chueca)",within an hour,100%,99%,f,https://a0.muscache.com/im/pictures/user/User/original/6a65df80-d474-43a9-ad76-2b4fef7a4bbd.jpeg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/User/original/6a65df80-d474-43a9-ad76-2b4fef7a4bbd.jpeg?aki_policy=profile_x_medium,Justicia,3.0,3.0,"['email', 'phone']",t,t,"Madrid, Spain",Justicia,Centro,40.41884,-3.69655,Private room in rental unit,Private room,4,1.5,1.5 shared baths,1.0,2.0,"[""Cleaning products"", ""First aid kit"", ""Hair dryer"", ""Portable fans"", ""Cooking basics"", ""Shampoo"", ""Dishes and silverware"", ""Hot water"", ""Hangers"", ""Extra pillows and blankets"", ""Pets allowed"", ""Bathtub"", ""Dining table"", ""Kitchen"", ""Shower gel"", ""Fast wifi \u2013 252 Mbps"", ""Essentials"", ""Conditioner"", ""Dedicated workspace"", ""Host greets you"", ""Refrigerator"", ""Heating"", ""Wine glasses"", ""Room-darkening shades"", ""Smoking allowed"", ""Body soap"", ""Iron"", ""Pocket wifi"", ""Dryer"", ""Lock on bedroom door"", ""Books and reading material"", ""Washer""]",$65.00,1,30,1.0,1.0,30.0,30.0,1.0,30.0,,t,4,16,34,299,2025-09-15,249,41,4,47,45,246,15990.0,2018-05-10,2025-09-05,4.65,4.78,4.46,4.8,4.86,4.97,4.6,,f,3,1,2,0,2.78
86042,https://www.airbnb.com/rooms/86042,20250914152907,2025-09-15,city scrape,Cozy attic with intimate rooftop terrace+ elevator,"Nestled in Madrid's tranquil heart, this apartment boasts a stunning cityscape view from its intimate rooftop terrace. Inside, a king-size bed bedroom with an ensuite bathroom, two alcoves (a larger one with a double bed, the other with a single bed), a large living room, and a modern, fully equipped kitchen await. Conveniently located within walking distance of all Madrid's attractions, it offers both comfort and accessibility, situated on the fourth floor with elevator access.",,https://a0.muscache.com/pictures/12207675/648fcbe4_original.jpg,364585,https://www.airbnb.com/users/show/364585,Vin,2011-01-27,"Madrid, Spain","About me: Music, Arts, Architecture, Glasses, Food and Wine Lover ...(not necessarily in this order)
Languages: English, Español, Italiano, Français, Deutsch. ",within an hour,100%,95%,f,https://a0.muscache.com/im/pictures/user/2306276d-af01-452d-b8ad-a90496f8b6c8.jpg?aki_policy=profile_small,https://a0.muscache.com/im/pictures/user/2306276d-af01-452d-b8ad-a90496f8b6c8.jpg?aki_policy=profile_x_medium,Embajadores,4.0,8.0,"['email', 'phone']",t,t,,Embajadores,Centro,40.40939,-3.69812,Entire rental unit,Entire home/apt,6,1.0,1 bath,3.0,3.0,"[""Cleaning products"", ""Private patio or balcony"", ""First aid kit"", ""Hair dryer"", ""Bed linens"", ""Cooking basics"", ""Wifi"", ""Dishes and silverware"", ""Long term stays allowed"", ""Hot water"", ""Pack \u2019n play/Travel crib"", ""Hangers"", ""High chair"", ""Extra pillows and blankets"", ""Stove"", ""Air conditioning"", ""Coffee maker"", ""Dining table"", ""Pets allowed"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Drying rack for clothing"", ""City skyline view"", ""Shower gel"", ""Essentials"", ""TV"", ""Dedicated workspace"", ""Toaster"", ""Refrigerator"", ""Heating"", ""Outdoor dining area"", ""Wine glasses"", ""Room-darkening shades"", ""Body soap"", ""Iron"", ""Outdoor furniture"", ""Lockbox"", ""Smoke alarm"", ""Elevator"", ""Carbon monoxide alarm"", ""Paid street parking off premises"", ""Fire extinguisher"", ""Dishwasher"", ""Oven"", ""Clothing storage: closet"", ""Self check-in""]",$166.00,3,365,2.0,3.0,365.0,365.0,2.3,365.0,,t,15,33,60,150,2025-09-15,233,21,0,78,25,126,20916.0,2011-06-20,2025-07-11,4.83,4.81,4.65,4.88,4.92,4.92,4.68,VT-3974,f,4,4,0,0,1.34
120293,https://www.airbnb.com/rooms/120293,20250914152907,2025-09-15,city scrape,ROOM IN THE CENTER -LA LATINA- WIFI,,"Metro station "" La latina"" on the corner.<br /><br />Plaza Mayor 400 meters",https://a0.muscache.com/pictures/7c5605ad-5472-4d08-b0ef-6adcfc23c0dc.jpg,605612,https://www.airbnb.com/users/show/605612,Ulises,2011-05-19,"Madrid, Spain","Disfruto de estar en contacto con la naturaleza, me gustan los animales, el huerto y trato con pasión todas las cosas que hago.
Me gusta hacer sentir a los demás como a mi me gusta que me traten. 
Mi reto, aprender en el camino de la vida y superarme diariamente.",within an hour,100%,94%,t,https://a0.muscache.com/im/users/605612/profile_pic/1360937378/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/605612/profile_pic/1360937378/original.jpg?aki_policy=profile_x_medium,La Latina,1.0,8.0,"['email', 'phone']",t,t,"Madrid, Comunidad de Madrid, Spain",Palacio,Centro,40.41143,-3.70912,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,2.0,"[""Cleaning products"", ""Stainless steel gas stove"", ""Hair dryer"", ""Bed linens"", ""Portable fans"", ""Cooking basics"", ""Shampoo"", ""Wifi"", ""Dishes and silverware"", ""Microwave"", ""Freezer"", ""Laundromat nearby"", ""Long term stays allowed"", ""Courtyard view"", ""Coffee"", ""Hot water"", ""Hangers"", ""Extra pillows and blankets"", ""Pets allowed"", ""Bathtub"", ""Dining table"", ""Paid washer \u2013 In unit"", ""Kitchen"", ""Drying rack for clothing"", ""Shower gel"", ""Luggage dropoff allowed"", ""Stainless steel oven"", ""Coffee maker: french press"", ""Paid parking garage off premises"", ""Essentials"", ""Conditioner"", ""Dedicated workspace"", ""Hot water kettle"", ""Refrigerator"", ""Toaster"", ""Host greets you"", ""Wine glasses"", ""Room-darkening shades"", ""Body soap"", ""Bidet"", ""Iron"", ""Smoke alarm"", ""32 inch HDTV with standard cable"", ""Elevator"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Clothing storage: closet"", ""Lock on bedroom door"", ""Radiant heating""]",$45.00,1,365,1.0,1.0,365.0,365.0,1.0,365.0,,t,10,10,10,116,2025-09-15,402,33,1,10,61,198,8910.0,2011-08-21,2025-08-24,4.8,4.85,4.82,4.9,4.9,4.95,4.74,,f,1,0,1,0,2.35
136058,https://www.airbnb.com/rooms/136058,20250914152907,2025-09-14,city scrape,"Calm, affordable room in Madrid.","The apartment is located in a safe, quiet and tree lined residential areas. City center within 15 min by Metro,bus stop in front of the apartment and big supermarket within walking distance as well.","The neighborhood is quiet, beautiful, safe and full of trees and green areas.<br />It is a quiet area and it is pleasant to walk around. You have many shops and within 7 minutes walking you have the Carrefour Shopping Center, with a gym, Post Office and more shops inside.<br />In the neighborhood there are quite a few bars with outdoor terraces and good tapas.",https://a0.muscache.com/pictures/85a31ad7-2224-4089-bdd7-77efbe1638e1.jpg,666482,https://www.airbnb.com/users/show/666482,Cinthia,2011-06-05,"Madrid, Spain"," Hablo un poco de francés y un poco de inglés.
Soy respetuosa con lo que es diferente. 
Abro mi casa al viajero para que pueda estar más cómodo y más feliz .
 Establezco con él una relación humana,de familia, no es una relación comercial.
Creo firmemente que todos somos parte de la gran familia humana. 

Hello! I’m Cinthia and I speak some English and French.
 I respect people and their differences.  I open my home to travelers so they can be comfortable and happier. 
 I like to establish a human relationship with my guests, as if we are family, not a commercial transaction.
I firmly belive that we are all part of a great human family.
  ",,,100%,f,https://a0.muscache.com/im/users/666482/profile_pic/1307297750/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/666482/profile_pic/1307297750/original.jpg?aki_policy=profile_x_medium,Villaverde,1.0,1.0,"['email', 'phone']",t,t,"Madrid, Spain",Los Angeles,Villaverde,40.35761,-3.69723,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,"[""Portable air conditioning"", ""First aid kit"", ""Garden view"", ""Hair dryer"", ""Bed linens"", ""Cooking basics"", ""Shampoo"", ""Wifi"", ""Dishes and silverware"", ""Microwave"", ""Long term stays allowed"", ""Hot water"", ""Hangers"", ""Extra pillows and blankets"", ""Stove"", ""Coffee maker"", ""Free parking on premises"", ""Single level home"", ""Kitchen"", ""Free washer \u2013 In unit"", ""City skyline view"", ""Shower gel"", ""Luggage dropoff allowed"", ""Essentials"", ""Dedicated workspace"", ""Host greets you"", ""Refrigerator"", ""Heating"", ""Free street parking"", ""Breakfast"", ""Iron"", ""Pocket wifi"", ""Window AC unit"", ""Smoke alarm"", ""Elevator"", ""Fire extinguisher""]",$24.00,1,1125,1.0,1.0,1125.0,1125.0,1.0,1125.0,,t,0,0,0,0,2025-09-14,97,0,0,0,0,0,0.0,2011-07-07,2022-10-30,4.94,4.96,4.95,4.98,4.98,4.74,4.93,,f,1,0,1,0,0.56
199016,https://www.airbnb.com/rooms/199016,20250914152907,2025-09-15,city scrape,Habitación en ático muy céntrico con dos terrazas,"Room with new orthopedic mattress, ceiling fan and beautiful views in beautiful and cozy 4th floor attic flat situated right on the trendy and ""hip"" quarter of Malasaña, Madrid's liveliest neighborhood, an unbeatable location, right in the heart of Madrid. It is surrounded by a broad selection of trendy restaurants, coffee shops, Tapas bars, art gallerys, ...where a bohemian community of friendly neighbors live in harmony, happy to share their neighborhood with visitors from all over the world.","Malasaña is a traditional neighborhood in the center of Madrid that is constantly evolving. Here, the oldest businesses coexist in harmony with the most chic, lifelong residents with young newcomers to the neighborhood and tourists who fall in love as soon as they arrive because it is the most fun and interesting neighborhood in Madrid.",https://a0.muscache.com/pictures/miso/Hosting-199016/original/eb9ca9f8-8acf-43bd-8ce0-41f779caf6ab.jpeg,967721,https://www.airbnb.com/users/show/967721,Santi,2011-08-14,"Madrid, Spain","Organizo conciertos y festivales de música. Tengo dos hijos, pero ya no viven conmigo. Me gusta cocinar y cuidar mis plantas, viajar, callejear, conocer gente linda, otras culturas....

Por mi profesión suelo estar informado de las actividades culturales y de ocio de Madrid. Pregúntame, en confianza, estaré encantado de recomendarte las más interesantes. Buen viaje!",within an hour,100%,85%,t,https://a0.muscache.com/im/users/967721/profile_pic/1342483955/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/967721/profile_pic/1342483955/original.jpg?aki_policy=profile_x_medium,Malasaña,1.0,3.0,"['email', 'phone']",t,t,"Madrid, Spain",Universidad,Centro,40.4257,-3.70383,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,"[""Cleaning products"", ""Legren body soap"", ""Private patio or balcony"", ""First aid kit"", ""Host greets you"", ""Hair dryer"", ""Bed linens"", ""Cooking basics"", ""Shampoo"", ""Wifi"", ""Dishes and silverware"", ""Microwave"", ""Freezer"", ""Laundromat nearby"", ""Long term stays allowed"", ""Courtyard view"", ""Hot water"", ""Blender"", ""Hangers"", ""Extra pillows and blankets"", ""Stove"", ""Bathtub"", ""Coffee maker"", ""Dining table"", ""Single level home"", ""Kitchen"", ""Drying rack for clothing"", ""City skyline view"", ""Shower gel"", ""Hammock"", ""Luggage dropoff allowed"", ""Ceiling fan"", ""Essentials"", ""TV"", ""Dedicated workspace"", ""Toaster"", ""Hot water kettle"", ""Refrigerator"", ""Heating"", ""Outdoor dining area"", ""Wine glasses"", ""Room-darkening shades"", ""Smoking allowed"", ""Bidet"", ""Iron"", ""Outdoor furniture"", ""Legren conditioner"", ""Dryer"", ""Sun loungers"", ""Elevator"", ""Oven"", ""Lock on bedroom door"", ""Books and reading material"", ""Washer""]",$60.00,2,365,2.0,2.0,365.0,365.0,2.0,365.0,,t,0,0,0,257,2025-09-15,72,26,1,0,28,156,9360.0,2015-06-21,2025-09-01,4.76,4.83,4.8,4.87,4.85,4.96,4.69,,f,1,0,1,0,0.58
199201,https://www.airbnb.com/rooms/199201,20250914152907,2025-09-15,city scrape,"Converted theatre, historic centre","Set of rooms with own bathroom (not ensuite, but near your bedroom) and your private sitting room in large family flat  in 19th century ""palacete""; delicious breakfast (included) served; everything in walking distance, but quiet street. No extra costs (apart from airbnb's!) No kitchen or cooking facilities available.","This is the heart of old Madrid. We have Plaza Mayor, Sol, La Latina, the 3 great art galleries all right on hand, as well as about 500 restaurants within walking distance!",https://a0.muscache.com/pictures/1805616/5214d9f6_original.jpg,749212,https://www.airbnb.com/users/show/749212,Henrietta,2011-06-27,"Madrid, Spain","Although I'm English, I've been living in Spain (Barcelona and Madrid) for half my life, so that must make me ""bicultural""! I hosted for a few years, enjoyed it, and am returning to it after  a work-related break. I love the opportunity it gives, as a host, to meet the widest range of people, with all sorts of interests and profiles. Madrid is a great place for a holiday - it can be as relaxed (all-day tapas, siestas) or as lively (bars & clubs everywhere, except for my street fortunately) and as cultural (I'm really close to the 4 major galleries) as you like. And for football aficionados,  well, it's obvious! I would be delighted to give as much or as little guidance as you want to have. Come & stay!",within an hour,100%,82%,t,https://a0.muscache.com/im/users/749212/profile_pic/1309187568/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/749212/profile_pic/1309187568/original.jpg?aki_policy=profile_x_medium,Embajadores,1.0,2.0,"['email', 'phone', 'work_email']",t,t,"Madrid, Spain",Embajadores,Centro,40.41319,-3.7024,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,1.0,"[""Private patio or balcony"", ""Hair dryer"", ""Bed linens"", ""Shampoo"", ""Wifi"", ""Laundromat nearby"", ""Hot water"", ""Hangers"", ""Extra pillows and blankets"", ""Bathtub"", ""Shower gel"", ""Luggage dropoff allowed"", ""Ceiling fan"", ""Essentials"", ""Dedicated workspace"", ""Host greets you"", ""Hot water kettle"", ""Heating"", ""Wine glasses"", ""Room-darkening shades"", ""Breakfast"", ""Body soap"", ""Bidet"", ""Smoke alarm"", ""Fire extinguisher"", ""Clothing storage: closet"", ""Books and reading material""]",$120.00,3,30,1.0,3.0,30.0,30.0,3.0,30.0,,t,1,9,34,34,2025-09-15,223,25,0,34,17,150,18000.0,2011-09-08,2025-07-07,4.87,4.87,4.91,4.98,4.99,4.99,4.82,,f,1,0,1,0,1.31
204570,https://www.airbnb.com/rooms/204570,20250914152907,2025-09-15,city scrape,Lovely 110m2 home - Best location!,"SPACIOUS, 2 BEDROOM HOLIDAY HOME: 2 BATHROOMS,<br />IDEAL FOR BOTH SHORT & LONG TERM STAY. REFURBISHED IN 2018<br /><br />PLEASE SEND ME A MESSAGE BEFORE BOOKING!","It can be said without hesitation that this flat enjoys the best location on offer for a holiday in Madrid. Practically a stone's throw away from Madrid's 3 most important art galleries (Prado, Thyssen and Reina Sofia), it straddles the historic Barrio de las Letras and the Huertas Neighbourhoods with their cultural offer and bustling nightlife, while being a 5 minute walk away from Madrid’s famous Retiro Park and 10 minutes from walk from the Puerta del Sol. The street itself is beautiful, lined with bars, restaurants and taverns but the flat is very quiet at night. All of central Madrid (Sol, Gran Via, Lavapies, Plaza Mayor) is within walking distance from the flat..",https://a0.muscache.com/pictures/2020462/7f1a0934_original.jpg,1004721,https://www.airbnb.com/users/show/1004721,Alex,2011-08-22,"Madrid, Spain","Hi!

I’m a (now no longer) young professional often away for work and am renting out my own home in central Madrid, since I barely use it now. 

It’s a place I love and is in my opinion by far the best located place in the entire city.

I´ll be looking forward to meeting you I will make your stay as pleasant and comfortable as possible. 

I speak fluent English, Spanish and French so please do get in touch if you are interested.",within a day,56%,33%,f,https://a0.muscache.com/im/users/1004721/profile_pic/1344549365/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1004721/profile_pic/1344549365/original.jpg?aki_policy=profile_x_medium,Cortes,2.0,4.0,"['email', 'phone']",t,t,"Madrid, Spain",Cortes,Centro,40.4152,-3.69668,Entire rental unit,Entire home/apt,5,2.0,2 baths,2.0,2.0,"[""Private patio or balcony"", ""Hair dryer"", ""Private entrance"", ""Bed linens"", ""Cooking basics"", ""Shampoo"", ""Wifi"", ""Dishes and silverware"", ""Microwave"", ""Long term stays allowed"", ""Private hot tub"", ""Hot water"", ""Hangers"", ""Extra pillows and blankets"", ""Stove"", ""Bathtub"", ""Air conditioning"", ""Coffee maker"", ""Kitchen"", ""Luggage dropoff allowed"", ""Essentials"", ""Refrigerator"", ""Heating"", ""Room-darkening shades"", ""Iron"", ""TV with standard cable"", ""Ethernet connection"", ""Elevator"", ""Dishwasher"", ""Oven"", ""Washer""]",$160.00,5,365,3.0,3.0,365.0,365.0,3.0,365.0,,t,2,2,2,43,2025-09-15,107,4,0,2,2,40,6400.0,2011-09-26,2025-07-08,4.84,4.85,4.82,4.94,4.9,4.97,4.84,,f,1,1,0,0,0.63
205199,https://www.airbnb.com/rooms/205199,20250914152907,2025-09-15,city scrape,Tafari Gran Via - Alquiler Temporal,,,https://a0.muscache.com/pictures/2054606/db4433db_original.jpg,1008659,https://www.airbnb.com/users/show/1008659,Nuria,2011-08-23,"Madrid, Spain","¡Hola a todos!

Me encanta mi ciudad y también me gusta mucho viajar y conocer nuevas culturas, comidas distintas y gente nueva.

Deseo que les guste mi apartamento.

¡Felices vacaciones! ",within an hour,100%,97%,,https://a0.muscache.com/im/users/1008659/profile_pic/1314134293/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1008659/profile_pic/1314134293/original.jpg?aki_policy=profile_x_medium,Malasaña,4.0,6.0,"['email', 'phone', 'work_email']",t,t,,Universidad,Centro,40.42116,-3.70384,Entire condo,Entire home/apt,2,1.0,1 bath,0.0,1.0,"[""Cleaning products"", ""Crib"", ""First aid kit"", ""Host greets you"", ""Hair dryer"", ""Bed linens"", ""Cooking basics"", ""Shampoo"", ""Wifi"", ""Dishes and silverware"", ""Microwave"", ""Freezer"", ""Laundromat nearby"", ""Long term stays allowed"", ""Courtyard view"", ""Coffee"", ""Hot water"", ""Pack \u2019n play/Travel crib"", ""Blender"", ""Hangers"", ""Extra pillows and blankets"", ""Coffee maker"", ""AC - split type ductless system"", ""Dining table"", ""Kitchen"", ""Free washer \u2013 In unit"", ""Drying rack for clothing"", ""Shower gel"", ""Clothing storage: closet and dresser"", ""Essentials"", ""TV"", ""Free dryer \u2013 In unit"", ""Conditioner"", ""Dedicated workspace"", ""Hot water kettle"", ""Refrigerator"", ""Heating"", ""Toaster"", ""Wine glasses"", ""Room-darkening shades"", ""Teka electric stove"", ""Body soap"", ""Iron"", ""Baking sheet"", ""Smoke alarm"", ""Elevator"", ""Oven"", ""Paid parking off premises""]",$98.00,15,365,7.0,15.0,365.0,365.0,14.7,365.0,,t,1,30,44,319,2025-09-15,374,25,1,62,24,255,24990.0,2011-09-12,2025-08-25,4.94,4.97,4.97,4.96,4.95,4.94,4.9,ESFCNT00002810800044867200000000000000000000000000009,f,2,2,0,0,2.19
211444,https://www.airbnb.com/rooms/211444,20250914152907,2025-09-14,city scrape,Private Room in a Sunny and Luxuriously Appointed Apartment,"Set a traditional dining table and enjoy a delicious homemade breakfast. Choose a book from a glass cabinet afterwards, and read on an inviting couch or in bed. Catch up on email on a computer by a picture window with views of a quiet neighborhood.<br /><br />In a quiet area of the city of Madrid (Arturo Soria neighborhood), just 15 minutes from IFEMA and 20 minutes from the airport by metro, I rent a private room with bathroom in a 90 m2 (1000 ft) flat. <br /> <br />It looks onto a private garden and swimming pool which ou can enjoy  during your stay in Madrid. WiFi and free national landline calls are included. <br /> <br />If you are planning to stay for a long period of time (more than a week) washing clothes (but not ironing!) and room/bathroom cleaning are included as well. <br /> <br />Metro entrance is just 1 minute walk from the building (line 4-ESPERANZA stop) and 3 minutes walk you can find buses number 120 and 122. You can get to the historic center less than half an hour. ",The apartment is in the peaceful Arturo Soria neighborhood. Entrance to the Metro is a 1-minute walk. Reach the historic center of Madrid in less than half an hour.,https://a0.muscache.com/pictures/f056e7a3-6641-4562-8dd1-9f68fad12038.jpg,1090760,https://www.airbnb.com/users/show/1090760,Jon,2011-08-31,"Madrid, Spain","Soy una persona tranquila, amante de la calma y el orden. Me gusta cocinar, la jardinería y disfrutar de la vida junto a mi familia y amigos.

He vivido en Estados Unidos y el Reino Unido por lo que me siento muy a fin con la cultura anglosajona. Me gusta conocer gente de todo el mundo porque es la manera más directa y bonita de aprender. Siempre que puedo me escapo a algún rincón en el extranjero para conocer nuevos lugares y culturas.

Si todos cumplimos unas mínimas normas de convivencia ésta resulta genial. Me encantará ayudarte a orientarte sobre qué lugares y rincones debes visitar en Madrid, sobre todo esos que los que vivimos en la ciudad visitamos y que normalmente los turistas no conocen :-)",within an hour,100%,94%,t,https://a0.muscache.com/im/users/1090760/profile_pic/1316122870/original.jpg?aki_policy=profile_small,https://a0.muscache.com/im/users/1090760/profile_pic/1316122870/original.jpg?aki_policy=profile_x_medium,Hortaleza,1.0,2.0,"['email', 'phone']",t,t,"Madrid, Spain",Canillas,Hortaleza,40.45959,-3.64699,Private room in rental unit,Private room,2,1.0,1 private bath,1.0,1.0,"[""Cleaning products"", ""First aid kit"", ""Patio or balcony"", ""Central air conditioning"", ""Host greets you"", ""Hair dryer"", ""Bed linens"", ""Paid dryer \u2013 In unit"", ""Portable fans"", ""Shampoo"", ""Dishes and silverware"", ""Freezer"", ""Microwave"", ""Long term stays allowed"", ""Shared outdoor pool - available seasonally, open specific hours"", ""Coffee"", ""Hot water"", ""Hangers"", ""Extra pillows and blankets"", ""Stove"", ""Free parking on premises"", ""Single level home"", ""Dining table"", ""Cleaning available during stay"", ""Paid washer \u2013 In unit"", ""Kitchen"", ""Drying rack for clothing"", ""Shower gel"", ""Luggage dropoff allowed"", ""Shared backyard \u2013 Fully fenced"", ""Essentials"", ""Conditioner"", ""Dedicated workspace"", ""Hot water kettle"", ""Refrigerator"", ""Heating"", ""Toaster"", ""Wine glasses"", ""Room-darkening shades"", ""Free street parking"", ""Body soap"", ""Iron"", ""Pocket wifi"", ""Breakfast"", ""TV with standard cable"", ""Smoke alarm"", ""Elevator"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Dishwasher"", ""Oven"", ""Clothing storage: closet"", ""Wifi \u2013 31 Mbps""]",$68.00,2,365,2.0,2.0,365.0,365.0,2.0,365.0,,t,8,34,63,308,2025-09-14,234,31,2,63,30,186,12648.0,2011-11-01,2025-09-08,4.95,4.96,4.99,4.99,4.96,4.81,4.93,ESHFNT00002811400061702400100000000000000000000000003,f,1,0,1,0,1.39
