listing_id,id,date,reviewer_id,reviewer_name,comments
47408663,1260289914823832896,2024-10-04,52829715,Seth,I cannot wait to book this space again. This is one of the best places to stay in the Downtown Crossing area. Host was super responsive and very helpful. Room was beautiful and quiet and had everything I needed.
658610117757260264,1177583033557353118,2024-06-12,447142093,Madeline,"Great location, cute place, overall pretty clean and tidy except for the floors. Only complaint is the floor was dirty. After walking around the studio for a short time I caught a glimpse of my foot and both ended up being super noticeably dirty. I put some socks on after washing my feet and they also ended up dirty after walking around. I would stay here again but would have to bring a swiffer!"
49512414,1307380214668712394,2024-12-08,660694843,Margaritis,"I stayed for a week to attend a conference and I can say it was much better than the surrounding hotels and better priced. Located in the middle of Downtown Boston, you are within walking distance of everything. <br/>The kitchen was huge, and clean, and included all the basics to cook your own meals.<br/>Care should be taken however for the noise levels on the weekend (associated with the club nearby mentioned on the listing). While there were no issues within the week, on Saturday night I woke up several times due to drunk people causing a commotion outside of said club.<br/>All in all however an easy pick for anyone looking to stay in Boston."
6758482,869633660968145477,2023-04-14,134627848,Steve,"The place was in a very convenient location for one looking to take some form of public transportation or just walk around.   Noise is part of the city and is to be expected. Just prepare for it.  Convenience shops and a subway station just a couple blocks away. More than one person, I would go with a larger room.  Thank you."
658713146354442625,1086319117253707520,2024-02-07,214518378,Samantha,Beautiful place!
28614084,600932751,2020-02-02,325356433,Lucy,Great location to stay for the weekend in Boston! Everything was very clean and tidy!
1252965370705094263,1540698871060057710,2025-10-26,256699001,Kimberly,"Enjoyed our stay, would come again!"
1461578772357367528,1540753269802440904,2025-10-26,134907311,John,"Amazing location next to House of Blues, MGM Music Hall, and Fenway Park. Very good music theme, convenient nitro coffee, breakfast, and vinyl collection. Will definitely be my go-to hotel in Boston!"
54278398,1342886330235043676,2025-01-26,107190790,Francisco,"Lovely place, would definitely consider staying again"
1732804,769642061633778467,2022-11-27,99503755,Zoe,"Tom is so friendly , he gave me all the informations i needed. Staying in his place was just like at home. Also he has a awesome dog Belle, they welcome me so much."
715986764385449660,1181961457904787750,2024-06-18,316821354,Christina,This place is in the perfect location. It is in an older building. We did have an issue with the bathtub not being cleaned but the host refunded our cleaning fee. The rest of the place was clean. But it doesn’t give a clean vibe because the building is old. The air conditioner did not get that cold either so it was a bit warm. Also just fyi the bathroom does not have any outlets.
49959608,1355384876016805271,2025-02-12,496464219,Kevin,fue frustrarte desde el principio por la cancelación herronia de mi reverba luego quise alargar mi alojamiento y por la supuesta infracción no podía y tardo tres días para dar una solución luego bloqueo los días para poder hacer la reserva nuevamente en el mismo lugar y para rematar quería que saliera el sábado 15  cuando yo tenia que salir hasta el domingo 16 y fue a tocarme la puerta para que saliera solamente porque confundió el día todo un desastre desde el principio la peor experiencia que yo e pasado con este tipo de renta
52065756,532550734644187428,2022-01-04,292559783,Summer,"Location was great! About a 3 minute walk from a T stop (metro) and right next to a doughnut shop. Parking was sometimes challenging and the heat sometimes was unable to warm up the apartment to the temperature we set it to, but it was a very cold night. Overall, the pictures were accurate and it was a wonderful experience."
47952948,940601574881562183,2023-07-21,44044521,Kevin,"The apartment was spacious with plenty of space to set up a computer and a couple of sofas. The kitchen was very well equiped, which made cooking in an option. It has more windows than a typical basement apartment which is nice."
6238463,1260256573092073587,2024-10-04,936090,Roger,A lovely stay in a quiet area of Jamaica Plain with some lovely hills and streets to walk around. Centre street is nearby with some restaurants or places for breakfast. The room was beautiful was awesome light getting in through the windows. Penny is friendly and helpful as a host. Had a great stay here and would book it again.
7728499,163921215,2017-06-25,117035280,Julie,"We really enjoyed our stay! The place is clean and cozy and you can't beat the location (really close to many historical sites, restaurants and shops). The host was professional and responsive. We would stay here again! <br/>"
12344142,248064842,2018-03-30,117174490,Joe'L,Perfect place I stayed in and lay back in the middle of everything. Don't drive everything is walking distance....I love it you will to
52635273,1423259022142525464,2025-05-17,213316857,Oluwaseun,Cynthia was so helpful and it was a well worth visit
4555637,1540757447310307488,2025-10-26,679228632,Monica,"I had a lovely stay at Jonathan's house! He was very proactive in providing clear instructions, the kitchen and bathroom were pristine and the loft room was cozy and peaceful. I appreciated how everything was neatly labeled, and he was very responsive in providing information. Thanks for hosting me!"
29082416,503777960,2019-08-06,280365106,Gary,Excellent stay.  5 Star in every respect.
903125425175805213,1114580405052512144,2024-03-17,237525848,Katherine,Rosy was an amazing host. The place was stunning ! Thank you for hosting us !
20754696,260967213,2018-05-05,89731961,Abbygael,"This place was beautiful , quite and very clean! One of the best places I’ve stayed in to date! Walking distance to metro and bus, and into the heart of Jp! Highly recommend this to anyone travelling to Boston! Thank you Ann and Esther!"
53174170,749289232562105956,2022-10-30,124841452,Eche,"Rebecca went over & beyond to make sure everything went according to plan. Her place is conducive, she’s very welcoming and I will surely stay again in the future."
